Farm_ID,Soil_pH,Soil_Moisture,Temperature_C,Rainfall_mm,Crop_Type,Fertilizer_Usage_kg,Pesticide_Usage_kg,Crop_Yield_ton,Sustainability_Score
137,6.31,26.43,27.15,223.6,Wheat,190.78,12.47,1.1270914105368437,13.27
138,6.57,12.13,17.37,79.5,Soybean,87.28,14.32,4.978993812707982,50.33
139,5.9,20.1,32.03,162.44,Rice,146.75,6.03,4.43439899355031,90.37
140,6.44,36.87,21.18,185.45,Rice,138.12,9.26,5.3196091259151945,38.34
141,7.29,36.13,33.04,230.33,Corn,193.58,5.8,4.133475532072047,92.88
142,7.34,43.09,33.58,204.57,Wheat,122.91,10.15,5.862234960898033,79.05
143,5.55,30.9,25.99,126.35,Corn,72.85,9.33,4.876817043445005,23.51
144,7.15,32.24,28.34,158.72,Rice,196.86,6.4,9.91869909222388,85.49
145,6.75,14.76,28.28,186.01,Corn,59.0,2.37,7.238887421996853,83.65
146,5.71,10.28,19.69,257.72,Soybean,173.89,12.47,4.854325558821428,16.78
147,5.99,24.05,18.68,109.76,Rice,129.4,16.05,6.055640978633972,62.41
148,6.28,18.26,26.71,131.46,Corn,83.62,1.01,7.8152291263798865,84.37
149,6.54,47.28,18.8,245.17,Rice,177.46,1.37,1.2967028624596826,76.62
150,6.99,19.71,28.16,119.35,Corn,125.99,11.29,4.3475055513330485,51.93
151,5.82,46.4,18.02,233.22,Wheat,83.51,6.19,3.209354850977947,9.45
152,7.17,41.55,18.67,182.03,Rice,50.76,7.28,5.2126235330401,32.85
153,6.58,39.53,30.79,99.85,Rice,99.84,12.75,1.1295422775604835,71.36
154,6.21,33.04,27.73,269.97,Corn,192.78,17.0,8.436758009656362,14.93
155,6.66,26.43,25.1,299.99,Corn,104.79,2.15,6.564736935294476,35.71
156,6.97,32.72,22.35,52.61,Soybean,173.93,9.35,4.89146540508286,94.77
157,7.41,45.44,31.49,168.12,Soybean,111.48,1.58,4.883544120942953,9.46
158,6.3,46.69,16.21,148.81,Wheat,190.92,6.28,4.460736150975176,57.9
159,6.4,44.65,18.58,260.41,Rice,117.35,10.66,9.36442571608883,3.54
160,7.42,35.03,15.51,222.16,Soybean,83.37,1.53,2.121116877654212,8.19
161,6.26,32.11,24.3,286.77,Wheat,150.58,8.44,6.156517247678311,24.72
162,7.09,39.25,18.86,100.03,Corn,109.45,11.39,9.365234240995964,85.91
163,6.92,47.8,23.68,118.56,Soybean,112.88,15.51,2.986144647414456,60.46
164,6.81,46.71,27.22,147.37,Corn,189.28,1.09,5.3476373558509644,37.28
165,6.47,16.01,15.85,252.62,Rice,166.59,19.91,2.071158824016943,88.8
166,5.86,32.93,15.54,216.49,Wheat,104.7,11.7,2.0012223204116864,12.32
167,5.57,18.17,34.91,213.57,Soybean,103.51,4.81,7.468727625847614,94.33
168,6.68,22.32,18.28,279.84,Wheat,123.19,14.39,2.473714901959914,85.32
169,7.34,14.67,32.81,55.41,Wheat,77.09,6.48,5.644626117167657,51.42
170,7.49,43.79,27.57,81.39,Corn,129.22,10.17,8.05606282169768,14.37
171,6.59,40.0,30.86,72.99,Soybean,125.15,17.45,4.953858372919341,55.92
172,6.61,23.88,20.58,56.94,Corn,143.58,19.19,6.521417369965136,3.45
173,6.98,33.56,25.54,257.07,Rice,134.25,18.47,3.076202272950562,35.66
174,5.68,16.98,25.34,63.96,Wheat,155.53,12.07,5.209389667505784,48.92
175,7.05,32.84,33.36,274.78,Rice,86.63,4.59,3.218770948667638,30.53
176,7.33,39.75,18.45,175.67,Soybean,106.12,5.26,8.382575808178355,32.71
177,5.93,48.83,23.06,274.29,Rice,67.55,2.26,8.186163260343097,18.49
178,6.21,37.93,32.83,243.7,Rice,90.21,14.01,7.420790724488517,0.85
179,7.3,21.37,28.8,116.01,Wheat,166.88,6.31,4.181321092012006,44.68
180,6.0,49.11,20.63,257.82,Corn,135.37,8.18,5.923019481408639,11.57
181,7.06,13.75,28.04,159.63,Corn,116.32,11.04,1.4820288550573286,30.43
182,6.09,15.97,20.06,84.91,Rice,58.42,11.47,2.568815107544311,59.22
183,6.97,30.01,15.47,182.23,Rice,157.88,15.42,5.614122734727707,49.3
184,5.54,42.36,24.24,225.18,Soybean,60.86,13.1,7.616909123031458,21.47
185,6.52,28.13,30.27,250.46,Rice,58.16,14.3,3.012670033474584,81.26
186,6.4,18.6,34.31,188.77,Corn,171.23,7.53,9.3763479558671,86.37
187,5.65,28.22,33.62,273.17,Soybean,73.51,14.07,4.466448314172031,92.89
188,5.89,41.6,17.63,130.33,Corn,106.4,3.33,7.930510649324177,90.28
189,6.7,38.86,17.15,88.02,Corn,56.63,8.74,1.9951729747645437,56.16
190,7.42,14.08,16.0,111.35,Soybean,174.11,12.1,2.262449602450212,57.6
191,6.32,18.07,34.47,147.9,Corn,155.68,6.93,2.0276306535262547,37.24
192,5.7,16.74,21.32,156.95,Rice,136.08,7.69,8.796867104490474,7.69
193,5.7,27.18,15.51,292.29,Rice,197.5,18.3,9.985435969535366,63.7
194,5.78,39.79,33.73,176.85,Soybean,185.61,17.97,5.788027848126681,50.18
195,6.57,41.22,32.69,130.05,Wheat,62.47,4.79,3.409552619010657,59.26
196,5.86,39.62,15.28,84.64,Corn,118.87,14.28,5.682392519591161,18.33
197,7.09,42.17,34.84,93.64,Rice,144.41,4.07,5.735746180362758,72.33
198,7.37,11.46,30.87,81.93,Wheat,73.82,19.28,9.365368077004822,15.45
199,6.12,23.87,33.02,266.25,Wheat,139.62,10.68,4.183521783712458,30.64
200,5.72,39.82,34.16,202.19,Wheat,124.15,1.05,4.13999404363496,85.17
201,6.45,22.49,16.76,220.74,Rice,120.15,15.54,2.786574744743268,59.29
202,7.0,44.31,20.03,287.1,Rice,155.57,10.07,2.801400273173094,16.34
203,7.37,40.72,24.42,220.14,Soybean,172.9,1.79,8.612763951760098,31.87
204,6.27,48.23,30.38,209.6,Rice,89.39,10.26,8.929639629288666,90.31
205,6.13,39.4,30.05,199.87,Soybean,188.56,1.24,9.952604730281063,12.52
206,7.27,47.84,31.24,59.22,Rice,101.52,13.83,4.214832794889401,12.64
207,6.58,47.0,18.97,195.12,Corn,143.28,4.84,8.38600403751908,37.9
208,5.9,22.19,34.13,186.6,Soybean,157.41,19.59,8.982610209262807,15.2
209,6.22,22.68,17.01,177.37,Wheat,103.28,6.25,4.105805133805314,68.52
210,6.02,12.1,25.21,246.32,Rice,146.99,7.9,2.206996131857208,3.47
211,7.08,18.46,32.63,66.05,Soybean,197.58,2.3,3.030599586305108,48.86
212,6.94,29.02,22.0,262.58,Rice,133.11,11.77,9.019640440955133,3.91
213,6.93,43.72,28.48,248.16,Soybean,91.22,17.34,6.663433886299571,9.23
214,7.13,49.86,16.96,245.79,Rice,79.25,19.85,3.820155834909241,4.91
215,6.17,25.08,21.08,75.86,Soybean,51.34,9.17,4.940928622874869,94.8
216,6.29,12.99,24.61,168.7,Wheat,115.38,19.13,4.459658937500044,35.04
217,6.5,12.49,16.26,239.3,Corn,69.59,5.53,8.226694483243989,21.04
218,7.05,17.89,17.89,236.66,Soybean,54.04,3.87,4.572270585490134,55.97
219,6.94,17.5,20.89,182.55,Corn,95.15,2.88,3.5829557582661327,8.85
220,6.14,36.38,20.82,299.44,Corn,151.75,2.14,8.373338273332847,70.91
221,7.43,25.43,17.86,131.14,Soybean,70.33,8.39,4.064183870445001,59.26
222,6.81,49.42,29.26,59.32,Corn,80.54,7.35,3.371627617289014,13.66
223,5.51,44.07,27.1,79.34,Wheat,73.4,6.65,4.836087726819107,12.88
224,6.19,45.25,25.67,95.59,Soybean,111.23,13.78,2.8796660319410616,71.4
225,5.57,25.58,31.25,103.69,Soybean,99.79,2.7,6.96585954829918,41.5
226,6.49,33.54,28.73,97.27,Corn,105.75,8.18,9.45797481769348,6.95
227,6.19,20.58,18.34,154.59,Soybean,186.53,17.27,1.0645901957226287,56.25
228,6.7,36.3,23.35,275.28,Rice,64.71,13.25,8.680623725695636,5.95
229,5.65,32.34,19.27,135.4,Wheat,111.72,10.55,3.143674453464974,84.82
230,6.68,23.73,18.54,110.19,Corn,92.67,7.54,1.4760281161178848,71.92
231,7.11,13.43,34.09,236.91,Soybean,83.32,3.2,8.778410765331852,59.59
232,7.31,43.66,30.84,162.78,Rice,97.51,15.08,4.091418593339015,0.75
233,5.58,12.32,23.76,162.23,Soybean,114.33,4.8,1.644754525740277,90.53
234,5.52,13.93,20.86,230.35,Rice,175.0,12.64,3.8485038653382975,30.6
235,6.12,40.32,34.84,102.9,Rice,198.77,18.49,3.543541755387394,88.5
236,7.43,34.35,31.18,129.94,Wheat,179.38,15.86,7.148141416151452,59.48
237,6.67,29.78,18.96,194.71,Soybean,86.09,9.21,4.084915883371815,66.35
238,7.23,29.03,33.16,162.5,Rice,54.74,9.13,3.7023414011735927,45.39
239,7.01,43.22,16.86,107.98,Wheat,186.01,4.56,6.168253833937291,96.42
240,7.01,37.93,29.25,122.84,Wheat,156.97,5.37,2.747918958592141,85.47
241,6.48,15.25,31.85,231.44,Rice,161.07,8.24,1.5682534413264184,96.63
242,7.42,39.54,32.42,60.06,Corn,113.0,7.98,2.7816239779062606,94.2
243,6.86,44.96,33.47,145.06,Soybean,59.09,16.22,6.408903190794054,34.98
244,6.35,24.55,34.84,255.61,Soybean,68.42,6.39,5.206594611108833,18.07
245,5.66,13.59,27.09,107.71,Rice,192.76,6.2,5.933469369056701,61.23
246,6.57,47.84,20.55,180.75,Rice,157.49,18.52,7.335434416438519,22.67
247,7.14,14.31,25.66,204.26,Rice,113.26,1.13,8.037463874766024,8.81
248,6.15,41.73,29.3,277.38,Rice,135.46,11.02,9.117336582982125,26.87
249,6.57,37.87,32.78,129.37,Soybean,97.04,7.12,2.718227750532774,53.24
250,6.37,30.37,32.79,105.92,Soybean,65.63,17.23,8.268964151417276,62.69
251,5.55,13.84,30.52,214.48,Rice,129.93,2.76,6.127997062028605,29.35
252,6.42,48.9,16.55,256.77,Soybean,72.43,13.84,2.549711034190363,97.31
253,5.86,13.27,31.03,181.74,Corn,81.45,11.4,3.324915104887523,30.27
254,6.85,24.95,34.5,225.93,Corn,82.92,5.9,8.079383005313192,74.49
255,6.99,36.83,27.12,289.4,Soybean,196.24,19.18,3.237998023579716,6.84
256,6.63,16.04,26.95,53.04,Wheat,114.25,17.01,8.725003723428532,96.06
257,5.59,41.98,22.88,237.78,Corn,75.6,1.0,7.293064854213366,19.27
258,7.05,11.06,20.87,147.41,Soybean,154.15,15.83,7.6667530866907585,26.18
259,5.75,16.24,30.45,111.1,Rice,60.0,9.7,7.63412791407179,43.59
260,6.01,22.44,18.9,230.58,Soybean,107.68,6.11,6.331718194189178,79.26
261,6.83,45.65,31.54,137.16,Soybean,140.89,3.39,8.872615833960598,6.89
262,6.67,10.67,26.44,95.81,Corn,130.4,5.73,9.37024559537074,50.53
263,6.9,24.74,26.38,89.58,Corn,128.91,15.05,6.9185129568701775,49.58
264,5.57,27.75,21.79,255.37,Corn,74.93,6.81,7.5766482158115,57.73
265,6.09,47.34,30.65,187.55,Wheat,86.87,5.19,6.940863221910956,58.27
266,6.61,15.92,24.57,79.73,Corn,74.78,16.5,2.50533372180096,24.14
267,6.5,16.42,28.35,246.7,Wheat,86.76,3.92,5.1615723237873015,86.01
268,5.61,42.0,16.04,117.82,Soybean,152.3,19.15,9.618895155332195,11.28
269,7.4,40.56,34.81,267.82,Corn,186.42,17.79,9.50373832365839,64.13
270,7.07,22.12,25.23,166.81,Soybean,95.56,16.83,9.52610308934923,49.4
271,7.49,38.27,26.61,88.62,Wheat,139.51,16.65,7.173399440900203,42.92
272,6.2,40.22,30.87,167.03,Corn,169.48,9.82,5.205956862673801,75.5
273,6.8,17.02,19.98,186.46,Soybean,121.01,12.02,8.156684086057343,67.6
274,5.92,20.66,17.97,155.14,Wheat,85.69,4.53,7.620390398970721,15.63
275,7.46,33.86,21.1,286.6,Rice,63.93,8.44,6.436741833102137,87.71
276,6.07,10.26,30.94,66.16,Soybean,193.71,13.13,5.633658556706724,67.39
277,6.41,47.03,19.53,267.52,Soybean,147.24,16.7,4.036912809355366,9.61
278,6.33,37.27,15.66,116.05,Wheat,181.15,9.5,5.521750968791338,18.28
279,6.63,35.79,23.58,127.24,Rice,191.24,4.07,3.4606933291158155,97.95
280,6.11,20.29,16.78,221.87,Corn,160.76,15.31,9.406921264169446,40.68
281,7.02,34.16,31.32,211.69,Wheat,122.3,13.84,7.010694891773025,44.49
282,5.93,20.7,24.58,132.74,Wheat,79.81,10.55,4.894789714185554,91.85
283,6.64,16.62,34.18,244.57,Corn,58.12,3.07,2.54319970664833,81.13
284,6.0,18.07,25.71,122.34,Rice,110.34,19.44,4.242400591490096,11.86
285,5.69,37.91,17.42,98.1,Soybean,120.83,16.67,5.475359066006979,58.38
286,7.13,17.7,26.39,168.86,Wheat,148.17,18.99,7.676156135504286,0.65
287,7.3,32.95,27.37,177.09,Wheat,104.24,18.38,4.075390245242772,84.6
288,6.79,20.92,15.35,71.95,Wheat,133.09,4.59,6.890932156321946,29.01
289,6.07,25.8,23.46,87.01,Wheat,125.76,5.93,4.737047726875588,79.86
290,6.97,30.06,26.26,254.66,Soybean,124.54,3.69,3.3285689124283246,0.03
291,5.62,41.28,24.79,295.9,Rice,69.16,19.72,9.320385009132409,28.71
292,5.86,36.6,20.35,234.51,Soybean,195.52,18.45,2.9684829082533613,41.41
293,7.02,36.97,24.41,224.49,Wheat,137.49,13.57,9.424950383425264,75.99
294,7.18,23.87,30.96,205.05,Rice,62.07,12.09,6.300400946791143,45.01
295,7.33,20.57,17.34,200.58,Rice,60.52,14.42,8.735742083585908,34.8
296,6.24,24.0,32.67,202.84,Soybean,160.36,1.06,5.425758639492182,15.2
297,6.75,18.56,32.31,139.13,Wheat,148.87,16.23,1.1893727379217238,88.21
298,6.19,46.82,29.59,106.6,Wheat,167.08,17.87,2.014787744758342,89.33
299,7.14,34.23,22.89,181.37,Wheat,151.41,4.92,5.964310993686517,68.8
300,6.76,46.18,32.82,198.63,Wheat,184.67,8.31,4.10831361394458,8.73
301,5.91,31.15,26.8,238.49,Wheat,133.89,7.46,2.896729997780501,89.14
302,6.93,15.01,28.75,191.34,Corn,119.52,6.05,1.3330355829856262,41.76
303,6.96,48.66,16.44,142.76,Soybean,196.05,8.71,9.245900021844962,46.42
304,5.83,36.16,31.98,65.36,Wheat,68.72,6.37,4.2910491443987535,39.61
305,6.47,42.72,20.88,123.72,Rice,153.77,10.37,2.6185760993112237,50.42
306,5.75,23.06,23.66,167.94,Corn,146.37,7.52,3.838967877246091,46.19
307,6.55,27.33,15.41,138.78,Wheat,185.29,7.12,8.273516309211423,38.86
308,5.56,41.49,20.89,289.28,Corn,105.7,14.89,5.776001455459425,31.41
309,6.92,40.18,28.82,173.11,Soybean,143.7,15.72,9.924964208857665,97.06
310,6.21,10.9,29.76,108.24,Wheat,130.18,1.55,4.364183645860153,92.45
311,6.89,47.77,31.07,177.05,Rice,158.14,8.68,6.207556198121444,24.46
312,7.04,49.18,15.47,199.25,Wheat,189.93,8.42,9.733141900492512,95.86
313,5.9,49.83,19.89,147.49,Wheat,95.32,3.01,6.016243185622006,41.28
314,7.01,41.21,24.21,157.08,Soybean,172.3,18.56,9.17817349426507,87.49
315,7.22,41.31,25.45,279.1,Wheat,128.25,9.2,6.331619514032563,98.65
316,6.25,17.12,18.71,221.6,Rice,172.17,5.52,1.298346348150781,63.97
317,7.13,18.22,33.32,139.18,Wheat,88.84,9.79,5.680135807561999,42.94
318,6.71,10.54,24.14,298.67,Corn,60.97,1.43,4.769883949111176,9.36
319,5.7,15.13,20.89,109.25,Wheat,154.39,10.8,3.9612111711419016,26.33
320,5.54,42.62,17.11,137.76,Rice,74.3,4.71,4.918837921145329,58.35
321,6.04,23.54,34.67,295.23,Soybean,57.78,7.77,2.789543016737301,5.39
322,7.09,24.16,29.11,284.93,Soybean,151.04,4.28,3.60554044844305,89.0
323,6.03,20.83,21.95,185.51,Soybean,141.34,6.79,5.906822479973007,89.24
